State,APMC,Commodity,Min Price (Rs.),Modal Price (Rs.),Max Price (Rs.),Arrivals,Traded Quantity,Unit,Date,APMC_Selected,Commodity_Selected
ANDHRA PRADESH,KURNOOL,URAD (BLACK GRAM),"6,589","7,249","7,296",65,78,Qui,17-04-2025,KURNOOL,
ANDHRA PRADESH,KURNOOL,FOX TAIL MILLET,"1,696","1,696","2,839",87,74,Qui,17-04-2025,KURNOOL,
ANDHRA PRADESH,MADANAPALLE,TOMATO,600,900,"1,200","2,191","2,191",Qui,17-04-2025,MADANAPALLE,
ANDHRA PRADESH,PALAMANER,TOMATO,"1,010","1,130","1,130","2,336","2,336",Qui,18-04-2025,PALAMANER,
ANDHRA PRADESH,PALAMANER,TOMATO,900,"1,120","1,120","2,167","2,167",Qui,17-04-2025,PALAMANER,
ANDHRA PRADESH,PALAMANER,CABBAGE,430,630,630,83,83,Qui,18-04-2025,PALAMANER,
ANDHRA PRADESH,PALAMANER,CABBAGE,"1,000","1,500","5,000",82,82,Qui,17-04-2025,PALAMANER,
ANDHRA PRADESH,PALAMANER,CAULIFLOWER,"1,100","1,200","1,200",45,45,Qui,17-04-2025,PALAMANER,
ANDHRA PRADESH,PALAMANER,CAULIFLOWER,900,"1,100","1,100",38,38,Qui,18-04-2025,PALAMANER,
ANDHRA PRADESH,PALAMANER,BRINJAL,"1,500","1,500","2,000",26,26,Qui,17-04-2025,PALAMANER,
ANDHRA PRADESH,PALAMANER,POTATO,"1,400","1,600","1,600",25,25,Qui,18-04-2025,PALAMANER,
ANDHRA PRADESH,PALAMANER,RIDGE GOURD (TURAI),"2,000","2,000","2,000",25,25,Qui,18-04-2025,PALAMANER,
ANDHRA PRADESH,PALAMANER,BEANS -CLUSTER,"4,000","5,000","6,000",24,24,Qui,17-04-2025,PALAMANER,
ANDHRA PRADESH,PALAMANER,POTATO,"2,000","2,000","2,000",22,22,Qui,17-04-2025,PALAMANER,
No record Found.,PARCHUR APMC,
No record Found.,PATTIKONDA,
ANDHRA PRADESH,PIDUGURALLA,CHILLI-334,"8,000","10,000","11,500",164,164,Qui,17-04-2025,PIDUGURALLA,
ANDHRA PRADESH,PIDUGURALLA,CHILLI-TEJA,"8,500","11,600","12,600",73,73,Qui,17-04-2025,PIDUGURALLA,
ANDHRA PRADESH,PUNGANUR,TOMATO,800,940,"1,140","2,447","2,447",Qui,18-04-2025,PUNGANUR,
ANDHRA PRADESH,PUNGANUR,TOMATO,"1,070","1,170","1,270","2,295","2,295",Qui,17-04-2025,PUNGANUR,
ANDHRA PRADESH,RAPUR,LEMON,"6,580","8,200","10,000",128,128,Qui,18-04-2025,RAPUR,
ANDHRA PRADESH,RAPUR,LEMON,"6,000","7,000","9,000",100,100,Qui,17-04-2025,RAPUR,
ANDHRA PRADESH,RAVULAPALEM APMC,BANANA KARPURA,"3,500","3,700","3,700",585,585,Qui,17-04-2025,RAVULAPALEM APMC,
ANDHRA PRADESH,RAVULAPALEM APMC,BANANA WHITE CHAKRAKELI,"3,600","3,600","3,600",268,268,Qui,17-04-2025,RAVULAPALEM APMC,
ANDHRA PRADESH,RAVULAPALEM APMC,BANANA RED CHAKRAKELI,"4,500","4,500","4,500",171,171,Qui,17-04-2025,RAVULAPALEM APMC,
ANDHRA PRADESH,RAVULAPALEM APMC,BANANA BHUSHAVALI,"2,500","2,500","2,500",162,162,Qui,17-04-2025,RAVULAPALEM APMC,
